codigo_cliente,codigo_pessoa_juridica,codigo_tipo_pj
201,1,3
202,2,3
203,3,3
204,4,3
205,5,3
206,6,3
207,7,3
208,8,3
209,9,3
210,10,3
211,11,3
212,12,3
213,13,3
214,14,3
215,15,3
216,16,3
217,17,3
218,18,3
219,19,3
220,20,3
221,21,3
222,22,3
223,23,3
224,24,3
225,25,3
226,26,3
227,27,3
228,28,3
229,29,3
230,30,3
231,31,3
232,32,3
233,33,3
234,34,3
235,35,3
236,36,3
237,37,3
238,38,3
239,39,3
240,40,3
241,41,3
242,42,3
243,43,3
244,44,3
245,45,3
246,46,3
247,47,3
248,48,3
249,49,3
250,50,3
251,51,3
252,52,3
253,53,3
254,54,3
255,55,3
256,56,3
257,57,3
258,58,3
259,59,3
260,60,3
261,61,3
262,62,3
263,63,3
264,64,3
265,65,3
266,66,3
267,67,3
268,68,3
269,69,3
270,70,3
271,71,3
272,72,3
273,73,3
274,74,3
275,75,3
276,76,3
277,77,3
278,78,3
279,79,3
280,80,3
281,81,3
282,82,3
283,83,3
284,84,3
285,85,3
286,86,3
287,87,3
288,88,3
289,89,3
290,90,3
291,91,3
292,92,3
293,93,3
294,94,3
295,95,3
296,96,3
297,97,3
298,98,3
299,99,3
300,100,3
