codigo_pessoa_juridica,razao_social,nome_fantasia,cnpj
151,Oliveira Materiais de Construcao Ltda,Constrular,12345678901234
152,Silva & Filhos Alimentos Eireli,Delícias da Silva,23456789012345
153,Souza Tecnologia S.A.,TechSouza,34567890123456
154,Santos Confeccoes Ltda,ModaSantos,45678901234567
155,Ferreira Farmaceutica Ltda,FarmaVida,56789012345678
156,Costa Moveis e Decoracoes S.A.,DecorCosta,67890123456789
157,Pereira Informatica Ltda,InfoPereira,78901234567890
158,Ribeiro Automotivos Eireli,Auto Ribeiro,89012345678901
159,Carvalho Supermercados S.A.,SuperCarvalho,90123456789012
160,Almeida Eletrodomesticos Ltda,Eletro Almeida,01234567890123
161,Lima Equipamentos Hospitalares Ltda,HospiLima,98765432109876
162,Gomes Materiais de Escritorio Eireli,Office Gomes,87654321098765
163,Martins Cosmeticos S.A.,Belle Martins,76543210987654
164,Rodrigues Transportes Ltda,TransRod,65432109876543
165,Fernandes Distribuidora Eireli,DistriFer,54321098765432
166,Alves Brinquedos Ltda,Toy Alves,43210987654321
167,Barbosa Suprimentos Industriais S.A.,IndusBar,32109876543210
168,Cardoso Optica Ltda,Visão Cardoso,21098765432109
169,Teixeira Pet Shop Eireli,PetTex,10987654321098
170,Azevedo Materiais Esportivos Ltda,Sport Azevedo,09876543210987
