codigo_pessoa_juridica,razao_social,nome_fantasia,cnpj
1,Silva & Associados Ltda,Silva Consultoria,12345678901234
2,Santos Comércio de Alimentos S.A.,Supermercado Santos,23456789012345
3,Oliveira Tecnologia Ltda,OliveiraTech,34567890123456
4,Ferreira Indústria e Comércio Ltda,Indústrias Ferreira,45678901234567
5,Costa Soluções Financeiras S.A.,Costa Finanças,56789012345678
6,Almeida Construções Ltda,Almeida Construtora,67890123456789
7,Lima Equipamentos Médicos Ltda,Lima Medical,78901234567890
8,Martins Serviços Automotivos S.A.,Auto Martins,89012345678901
9,Rodrigues Telecomunicações Ltda,Rodrigues Telecom,90123456789012
10,Gomes Transportes e Logística S.A.,Transportadora Gomes,01234567890123
11,Pereira Distribuidora de Alimentos Ltda,Distribuidora Pereira,10234567890123
12,Souza Materiais de Construção S.A.,Souza Materiais,20345678901234
13,Fernandes Imobiliária Ltda,Imóveis Fernandes,30456789012345
14,Cardoso Software e Serviços Ltda,Cardoso IT Solutions,40567890123456
15,Ribeiro Hotelaria S.A.,Hotéis Ribeiro,50678901234567
16,Barbosa Eventos e Promoções Ltda,Barbosa Eventos,60789012345678
17,Nascimento Farmacêutica Ltda,Farmácias Nascimento,70890123456789
18,Campos Comunicação Visual Ltda,Campos Design,80901234567890
19,Vieira Agropecuária S.A.,Agro Vieira,90012345678901
20,Moreira Energia Sustentável Ltda,Moreira Energia,00123456789012
21,Freitas Contabilidade e Assessoria Ltda,Contábil Freitas,10234567890124
22,Andrade Segurança e Vigilância S.A.,Segurança Andrade,20345678901235
23,Mendes Decoração e Design Ltda,Decorações Mendes,30456789012346
24,Castro Equipamentos Industriais Ltda,Castro Industrial,40567890123457
25,Carvalho Papel e Celulose S.A.,Papelaria Carvalho,50678901234568
26,Duarte Engenharia Ltda,Engenharia Duarte,60789012345679
27,Teixeira Consultoria Empresarial Ltda,Teixeira Consultores,70890123456780
28,Rocha Móveis e Decorações S.A.,Móveis Rocha,80901234567891
29,Correia Laboratório de Análises Ltda,Laboratório Correia,90012345678902
30,Barros Máquinas e Ferramentas Ltda,Ferramentas Barros,00123456789013
31,Santos Corretora de Seguros S.A.,Seguros Santos,10234567890125
