codigo_equipe,data_equipe,tb_descricao_equipe
1,2025-04-05,Equipe Rápida Motor
2,2025-04-05,Equipe Elétrica Express
3,2025-04-05,Equipe Suspensão Total
4,2025-04-05,Equipe Transmissão Plus
5,2025-04-05,Equipe Diagnóstico Master
6,2025-04-05,Equipe Verde Híbridos
7,2025-04-06,Equipe Alfa Motores
8,2025-04-06,Equipe Beta Elétrica
9,2025-04-06,Equipe Gama Suspensão
10,2025-04-06,Equipe Delta Transmissão
11,2025-04-06,Equipe Omega Diagnóstico
12,2025-04-06,Equipe Sigma Híbridos
13,2025-04-07,Equipe Tech Motores
14,2025-04-07,Equipe Smart Elétrica
15,2025-04-07,Equipe Pro Suspensão
16,2025-04-07,Equipe Master Transmissão
17,2025-04-07,Equipe Expert Diagnóstico
18,2025-04-07,Equipe Future Híbridos
19,2025-04-08,Equipe Veloz Motores
20,2025-04-08,Equipe Raio Elétrica
21,2025-04-08,Equipe Firme Suspensão
22,2025-04-08,Equipe Ágil Transmissão
23,2025-04-08,Equipe Precisa Diagnóstico
24,2025-04-08,Equipe Eco Híbridos
25,2025-04-09,Equipe Prime Motores
26,2025-04-09,Equipe Ultra Elétrica
27,2025-04-09,Equipe Mega Suspensão
28,2025-04-09,Equipe Top Transmissão
29,2025-04-09,Equipe Alerta Diagnóstico
30,2025-04-09,Equipe Verde Híbridos
31,2025-04-10,Equipe Alfa Motores
32,2025-04-10,Equipe Beta Elétrica
33,2025-04-10,Equipe Gama Suspensão
34,2025-04-10,Equipe Delta Transmissão
35,2025-04-10,Equipe Omega Diagnóstico
36,2025-04-10,Equipe Sigma Híbridos
37,2025-04-11,Equipe Tech Motores
38,2025-04-11,Equipe Smart Elétrica
39,2025-04-11,Equipe Pro Suspensão
40,2025-04-11,Equipe Master Transmissão
41,2025-04-11,Equipe Expert Diagnóstico
42,2025-04-11,Equipe Future Híbridos
43,2025-04-12,Equipe Veloz Motores
44,2025-04-12,Equipe Raio Elétrica
45,2025-04-12,Equipe Firme Suspensão
46,2025-04-12,Equipe Ágil Transmissão
47,2025-04-12,Equipe Precisa Diagnóstico
48,2025-04-12,Equipe Eco Híbridos
49,2025-04-13,Equipe Prime Motores
50,2025-04-13,Equipe Ultra Elétrica
51,2025-04-13,Equipe Mega Suspensão
52,2025-04-13,Equipe Top Transmissão
53,2025-04-13,Equipe Alerta Diagnóstico
54,2025-04-13,Equipe Verde Híbridos
55,2025-04-14,Equipe Alfa Motores
56,2025-04-14,Equipe Beta Elétrica
57,2025-04-14,Equipe Gama Suspensão
58,2025-04-14,Equipe Delta Transmissão
59,2025-04-14,Equipe Omega Diagnóstico
60,2025-04-14,Equipe Sigma Híbridos
61,2025-04-15,Equipe Tech Motores
62,2025-04-15,Equipe Smart Elétrica
63,2025-04-15,Equipe Pro Suspensão
64,2025-04-15,Equipe Master Transmissão
65,2025-04-15,Equipe Expert Diagnóstico
66,2025-04-15,Equipe Future Híbridos
67,2025-04-16,Equipe Veloz Motores
68,2025-04-16,Equipe Raio Elétrica
69,2025-04-16,Equipe Firme Suspensão
70,2025-04-16,Equipe Ágil Transmissão
71,2025-04-16,Equipe Precisa Diagnóstico
72,2025-04-16,Equipe Eco Híbridos
73,2025-04-17,Equipe Prime Motores
74,2025-04-17,Equipe Ultra Elétrica
75,2025-04-17,Equipe Mega Suspensão
76,2025-04-17,Equipe Top Transmissão
77,2025-04-17,Equipe Alerta Diagnóstico
78,2025-04-17,Equipe Verde Híbridos
79,2025-04-18,Equipe Alfa Motores
80,2025-04-18,Equipe Beta Elétrica
81,2025-04-18,Equipe Gama Suspensão
82,2025-04-18,Equipe Delta Transmissão
83,2025-04-18,Equipe Omega Diagnóstico
84,2025-04-18,Equipe Sigma Híbridos
85,2025-04-19,Equipe Tech Motores
86,2025-04-19,Equipe Smart Elétrica
87,2025-04-19,Equipe Pro Suspensão
88,2025-04-19,Equipe Master Transmissão
89,2025-04-19,Equipe Expert Diagnóstico
90,2025-04-19,Equipe Future Híbridos
91,2025-04-20,Equipe Veloz Motores
92,2025-04-20,Equipe Raio Elétrica
93,2025-04-20,Equipe Firme Suspensão
94,2025-04-20,Equipe Ágil Transmissão
95,2025-04-20,Equipe Precisa Diagnóstico
96,2025-04-20,Equipe Eco Híbridos
97,2025-04-21,Equipe Prime Motores
98,2025-04-21,Equipe Ultra Elétrica
99,2025-04-21,Equipe Mega Suspensão
100,2025-04-21,Equipe Top Transmissão
101,2025-04-21,Equipe Alerta Diagnóstico
102,2025-04-21,Equipe Verde Híbridos
103,2025-04-22,Equipe Alfa Motores
104,2025-04-22,Equipe Beta Elétrica
105,2025-04-22,Equipe Gama Suspensão
106,2025-04-22,Equipe Delta Transmissão
107,2025-04-22,Equipe Omega Diagnóstico
108,2025-04-22,Equipe Sigma Híbridos
109,2025-04-23,Equipe Tech Motores
110,2025-04-23,Equipe Smart Elétrica
