codigo_cliente,email,ddd,telefone,codigo_endereco
201,contato@silvaassociados.com.br,011,987654321,201
202,contato@santosalimentos.com.br,021,912345678,202
203,contato@oliveiratech.com.br,031,976543210,203
204,contato@ferreiraindustria.com.br,047,998765432,204
205,contato@costafinancas.com.br,019,965432198,205
206,contato@almeidaconstrutora.com.br,081,943218765,206
207,contato@limamedical.com.br,027,932165478,207
208,contato@automartins.com.br,041,987612345,208
209,contato@rodriguestelecom.com.br,051,976541238,209
210,contato@transportadoragomes.com.br,061,954321876,210
211,contato@distribuidorapereira.com.br,062,943217654,211
212,contato@souzamateriais.com.br,071,932156789,212
213,contato@imoveisfernandes.com.br,085,921876543,213
214,contato@cardosoit.com.br,084,954123789,214
215,contato@hoteisribeiro.com.br,083,967891234,215
216,contato@barbosaeventos.com.br,017,945678123,216
217,contato@farmaciasnascimento.com.br,014,934567812,217
218,contato@camposdesign.com.br,016,956781234,218
219,contato@agrovieira.com.br,013,923456789,219
220,contato@moreiraenergia.com.br,015,945612378,220
221,contato@contabilfreitas.com.br,022,932145678,221
222,contato@segurancaandrade.com.br,024,921654387,222
223,contato@decoracoesmendes.com.br,028,943217865,223
224,contato@castroindustrial.com.br,088,965432187,224
225,contato@papelariacarvalho.com.br,086,932178654,225
226,contato@engenhariaduarte.com.br,087,945612389,226
227,contato@teixeiraconsultores.com.br,089,954321678,227
228,contato@moveisrocha.com.br,082,934561278,228
229,contato@laboratoriocorreia.com.br,091,921543768,229
230,contato@ferramentasbarros.com.br,092,943218756,230
231,contato@segurossantos.com.br,093,932165487,231
232,contato@advocaciapinto.com.br,094,965432178,232
233,contato@alimentosmarques.com.br,095,943217865,233
234,contato@cunhacomex.com.br,096,956781243,234
235,contato@graficamelo.com.br,097,987654312,235
236,contato@diassoftware.com.br,098,932156478,236
237,contato@ecofarias.com.br,099,921876534,237
238,contato@ecommercemachado.com.br,018,967812345,238
239,contato@esportelopes.com.br,012,945678132,239
240,contato@clinicaxavier.com.br,043,956743281,240
241,contato@juridicoborges.com.br,044,987632145,241
242,contato@automacaoviana.com.br,045,965432178,242
243,contato@soaresmarketing.com.br,046,932165478,243
244,contato@institutopeixoto.com.br,048,921876543,244
245,contato@mineradorasilva.com.br,049,945678132,245
246,contato@vetoliveira.com.br,011,954321876,246
247,contato@rhferreira.com.br,021,932156789,247
248,contato@costaeletronicos.com.br,031,921876543,248
249,contato@representacoesalmeida.com.br,047,945678123,249
250,contato@cleanlima.com.br,019,932167845,250
251,contato@textilmartins.com.br,081,921843765,251
252,contato@funerariarodrigues.com.br,027,956743281,252
253,contato@urbanismogomes.com.br,041,945678132,253
254,contato@reciclagempereira.com.br,051,932156478,254
255,contato@tisouza.com.br,061,921876534,255
256,contato@quimicafernandes.com.br,062,965432178,256
257,contato@festascardoso.com.br,071,948765321,257
258,contato@couroribeiro.com.br,085,956743281,258
259,contato@postobarbosa.com.br,084,934567812,259
260,contato@casanascimento.com.br,083,921654387,260
261,contato@expresscampos.com.br,017,943217865,261
262,contato@eletricavieira.com.br,014,932178654,262
263,contato@webmoreira.com.br,016,921543768,263
264,contato@madeireirafreitas.com.br,013,932165487,264
265,contato@andradetreinamentos.com.br,015,965432178,265
266,contato@planejadosmendes.com.br,022,954321876,266
267,contato@segurancacastro.com.br,024,932156789,267
268,contato@gestaocarvalho.com.br,028,921876543,268
269,contato@naturaisduarte.com.br,088,954321678,269
270,contato@embalagemteixeira.com.br,086,932165478,270
271,contato@ferragensrocha.com.br,087,921876543,271
272,contato@odontocorreia.com.br,089,965432198,272
273,contato@distribuidorabarros.com.br,082,943218765,273
274,contato@agrosantos.com.br,091,932165478,274
275,contato@locadorapinto.com.br,092,945678123,275
276,contato@confeccoesmarques.com.br,093,932145678,276
277,contato@informaticacunha.com.br,094,954321876,277
278,contato@assistenciamelo.com.br,095,932156789,278
279,contato@financeiradias.com.br,096,921876543,279
280,contato@belezafarias.com.br,097,945678123,280
281,contato@fotomachado.com.br,098,932167845,281
282,contato@vidracarialopes.com.br,099,921843765,282
283,contato@refrigeracaoxavier.com.br,018,956743281,283
284,contato@turismoborges.com.br,012,945678132,284
285,contato@hidraulicaviana.com.br,043,932156478,285
286,contato@pneussoares.com.br,044,921876534,286
287,contato@ambientalpeixoto.com.br,045,965432178,287
288,contato@hospitalarsilva.com.br,046,943218765,288
289,contato@jardimoliveira.com.br,048,932165478,289
290,contato@religiososferreira.com.br,049,921876543,290
291,contato@buffetcosta.com.br,011,954321876,291
292,contato@segurancaalmeida.com.br,021,932156789,292
293,contato@tilima.com.br,031,921876543,293
294,contato@contabilidademartins.com.br,047,945678123,294
295,contato@acorodrigues.com.br,019,932167845,295
296,contato@digitalgomes.com.br,081,921843765,296
297,contato@tintaspereira.com.br,027,956743281,297
298,contato@organicossouza.com.br,041,945678132,298
299,contato@sistemasfernandes.com.br,051,932156478,299
300,contato@engenhariacardoso.com.br,061,921876534,300
